Point Y,Point X,InstallDate
32.23574296,-111.0039985,7/9/2016
32.2357509,-111.0040313,7/9/2016
32.2358,-111.0045087,7/9/2016
32.23560401,-110.9941998,7/9/2016
32.23561956,-110.9862114,7/9/2016
32.23567261,-110.9856616,7/9/2016
32.23565467,-110.9859408,7/9/2016
32.23562972,-110.9834087,7/9/2016
32.23561973,-110.9836415,7/9/2016
32.23555348,-110.9833121,7/9/2016
32.23559297,-110.9843468,7/9/2016
32.239569,-111.0065627,7/11/2016
32.23582933,-110.9939826,7/11/2016
32.23547167,-111.0037918,7/11/2016
32.23547717,-110.9900836,7/11/2016
32.23580649,-110.9942149,7/11/2016
32.231859,-111.0020427,7/12/2016
32.231513,-111.0013537,7/12/2016
32.234993,-111.0039967,7/12/2016
32.234954,-111.0035237,7/12/2016
32.23445544,-111.0031895,7/12/2016
32.233977,-111.0033597,7/12/2016
32.23289534,-111.0026756,7/12/2016
32.232451,-111.0024167,7/12/2016
32.232297,-111.0019577,7/12/2016
32.23205173,-111.001699,7/12/2016
32.23133,-111.0017127,7/12/2016
32.231212,-111.0012237,7/12/2016
32.246068,-110.9998037,7/12/2016
32.230833,-111.0012617,7/12/2016
32.230374,-111.0007327,7/12/2016
32.23082602,-111.0008166,7/12/2016
32.23003,-111.0003227,7/12/2016
32.2300087,-110.9997387,7/12/2016
32.2317297,-111.0016415,7/12/2016
32.229096,-110.9999977,7/12/2016
32.246054,-110.9989597,7/12/2016
32.24606706,-110.9981948,7/12/2016
32.24604345,-110.9973162,7/12/2016
32.245661,-110.9966897,7/12/2016
32.245239,-110.9959687,7/12/2016
32.24499627,-110.9953339,7/12/2016
32.24481336,-110.9945933,7/12/2016
32.24472628,-110.9937973,7/12/2016
32.22957203,-110.9997715,7/12/2016
32.22950327,-110.999258,7/12/2016
32.229174,-110.9993847,7/12/2016
32.23689057,-111.0021369,7/12/2016
32.23852269,-111.002781,7/12/2016
32.23740837,-111.002429,7/12/2016
32.23637525,-111.0018344,7/12/2016
32.24068556,-111.0024497,7/12/2016
32.24144641,-111.0023556,7/12/2016
32.24013939,-111.002546,7/12/2016
32.22391711,-110.9890243,7/13/2016
32.22954249,-110.9918223,7/13/2016
32.229346,-110.9914777,7/13/2016
32.22961167,-110.9911692,7/13/2016
32.22942,-110.9907807,7/13/2016
32.22426314,-110.9890665,7/13/2016
32.22465057,-110.9891117,7/13/2016
32.225017,-110.9891417,7/13/2016
32.22539681,-110.9892038,7/13/2016
32.22575815,-110.9892447,7/13/2016
32.22612812,-110.9892843,7/13/2016
32.2264822,-110.9893468,7/13/2016
32.22683916,-110.989372,7/13/2016
32.22717838,-110.9894257,7/13/2016
32.2275329,-110.9894668,7/13/2016
32.22784849,-110.989511,7/13/2016
32.22818011,-110.9895441,7/13/2016
32.22850852,-110.9895795,7/13/2016
32.22883795,-110.9896011,7/13/2016
32.22916993,-110.989654,7/13/2016
32.229275,-110.9946157,7/13/2016
32.229087,-110.9942697,7/13/2016
32.22933978,-110.9939467,7/13/2016
32.229146,-110.9935547,7/13/2016
32.22940577,-110.9932284,7/13/2016
32.229236,-110.9928347,7/13/2016
32.22946862,-110.9926575,7/13/2016
32.229291,-110.9921127,7/13/2016
32.22967,-110.9904597,7/13/2016
32.229813,-110.9889547,7/13/2016
32.229662,-110.9884667,7/13/2016
32.22988336,-110.9879278,7/13/2016
32.229643,-110.9874737,7/13/2016
32.22982605,-110.9869177,7/13/2016
32.229579,-110.9864627,7/13/2016
32.2297662,-110.9859351,7/13/2016
32.229494,-110.9854017,7/13/2016
32.229889,-110.9876377,7/13/2016
32.229021,-110.9949677,7/13/2016
32.229221,-110.9953207,7/13/2016
32.228965,-110.9956467,7/13/2016
32.22917439,-110.9959494,7/13/2016
32.228915,-110.9962917,7/13/2016
32.22910804,-110.9966485,7/13/2016
32.228859,-110.9969727,7/13/2016
32.2290543,-110.9973417,7/13/2016
32.228799,-110.9976197,7/13/2016
32.229001,-110.9979287,7/13/2016
32.228739,-110.9981717,7/13/2016
32.22895774,-110.9985274,7/13/2016
32.23383787,-111.0029161,7/13/2016
32.233354,-111.0026047,7/13/2016
32.24898847,-111.0124047,7/13/2016
32.22354384,-110.9889814,7/13/2016
32.23344048,-111.003039,7/13/2016
32.23283518,-111.0022942,7/13/2016
32.220701,-110.9826327,7/14/2016
32.220787,-110.9817417,7/14/2016
32.220742,-110.9822997,7/14/2016
32.22066,-110.9829827,7/14/2016
